entity_id,cutoff_time,churned
cust_00001,2024-01-01,0
cust_00001,2024-02-01,0
cust_00001,2024-03-01,0
cust_00001,2024-04-01,0
cust_00001,2024-05-01,0
cust_00001,2024-06-01,0
cust_00002,2024-01-01,0
cust_00002,2024-02-01,0
cust_00002,2024-03-01,0
cust_00002,2024-04-01,0
cust_00002,2024-05-01,0
cust_00002,2024-06-01,0
cust_00003,2024-01-01,0
cust_00003,2024-02-01,0
cust_00003,2024-03-01,0
cust_00003,2024-04-01,0
cust_00003,2024-05-01,0
cust_00003,2024-06-01,0
cust_00004,2024-01-01,0
cust_00004,2024-02-01,0
cust_00004,2024-03-01,0
cust_00004,2024-04-01,0
cust_00004,2024-05-01,0
cust_00004,2024-06-01,0
cust_00005,2024-01-01,0
cust_00005,2024-02-01,0
cust_00005,2024-03-01,0
cust_00005,2024-04-01,0
cust_00005,2024-05-01,0
cust_00005,2024-06-01,0
cust_00006,2024-01-01,0
cust_00006,2024-02-01,0
cust_00006,2024-03-01,0
cust_00006,2024-04-01,0
cust_00006,2024-05-01,0
cust_00006,2024-06-01,0
cust_00007,2024-01-01,0
cust_00007,2024-02-01,0
cust_00007,2024-03-01,0
cust_00007,2024-04-01,0
cust_00007,2024-05-01,0
cust_00007,2024-06-01,0
cust_00008,2024-01-01,0
cust_00008,2024-02-01,0
cust_00008,2024-03-01,0
cust_00008,2024-04-01,0
cust_00008,2024-05-01,0
cust_00008,2024-06-01,0
cust_00009,2024-01-01,0
cust_00009,2024-02-01,0
cust_00009,2024-03-01,0
cust_00009,2024-04-01,0
cust_00009,2024-05-01,0
cust_00009,2024-06-01,0
cust_00010,2024-01-01,0
cust_00010,2024-02-01,0
cust_00010,2024-03-01,0
cust_00010,2024-04-01,0
cust_00010,2024-05-01,0
cust_00010,2024-06-01,0
cust_00011,2024-01-01,0
cust_00011,2024-02-01,0
cust_00011,2024-03-01,0
cust_00011,2024-04-01,0
cust_00011,2024-05-01,0
cust_00011,2024-06-01,0
cust_00012,2024-01-01,1
cust_00012,2024-02-01,1
cust_00012,2024-03-01,1
cust_00012,2024-04-01,1
cust_00012,2024-05-01,1
cust_00012,2024-06-01,1
cust_00013,2024-01-01,0
cust_00013,2024-02-01,0
cust_00013,2024-03-01,0
cust_00013,2024-04-01,0
cust_00013,2024-05-01,0
cust_00013,2024-06-01,0
cust_00014,2024-01-01,0
cust_00014,2024-02-01,0
cust_00014,2024-03-01,0
cust_00014,2024-04-01,0
cust_00014,2024-05-01,0
cust_00014,2024-06-01,0
cust_00015,2024-01-01,0
cust_00015,2024-02-01,0
cust_00015,2024-03-01,0
cust_00015,2024-04-01,0
cust_00015,2024-05-01,0
cust_00015,2024-06-01,0
cust_00016,2024-01-01,0
cust_00016,2024-02-01,0
cust_00016,2024-03-01,0
cust_00016,2024-04-01,0
cust_00016,2024-05-01,0
cust_00016,2024-06-01,0
cust_00017,2024-01-01,0
cust_00017,2024-02-01,0
cust_00017,2024-03-01,0
cust_00017,2024-04-01,0
cust_00017,2024-05-01,0
cust_00017,2024-06-01,0
cust_00018,2024-01-01,0
cust_00018,2024-02-01,0
cust_00018,2024-03-01,0
cust_00018,2024-04-01,0
cust_00018,2024-05-01,0
cust_00018,2024-06-01,0
cust_00019,2024-01-01,0
cust_00019,2024-02-01,0
cust_00019,2024-03-01,0
cust_00019,2024-04-01,0
cust_00019,2024-05-01,0
cust_00019,2024-06-01,0
cust_00020,2024-01-01,0
cust_00020,2024-02-01,0
cust_00020,2024-03-01,0
cust_00020,2024-04-01,0
cust_00020,2024-05-01,0
cust_00020,2024-06-01,0
cust_00021,2024-01-01,0
cust_00021,2024-02-01,0
cust_00021,2024-03-01,0
cust_00021,2024-04-01,0
cust_00021,2024-05-01,0
cust_00021,2024-06-01,0
cust_00022,2024-01-01,0
cust_00022,2024-02-01,0
cust_00022,2024-03-01,0
cust_00022,2024-04-01,0
cust_00022,2024-05-01,0
cust_00022,2024-06-01,0
cust_00023,2024-01-01,0
cust_00023,2024-02-01,0
cust_00023,2024-03-01,0
cust_00023,2024-04-01,0
cust_00023,2024-05-01,0
cust_00023,2024-06-01,0
cust_00024,2024-01-01,1
cust_00024,2024-02-01,1
cust_00024,2024-03-01,1
cust_00024,2024-04-01,1
cust_00024,2024-05-01,1
cust_00024,2024-06-01,1
cust_00025,2024-01-01,0
cust_00025,2024-02-01,0
cust_00025,2024-03-01,0
cust_00025,2024-04-01,0
cust_00025,2024-05-01,0
cust_00025,2024-06-01,0
cust_00026,2024-01-01,0
cust_00026,2024-02-01,0
cust_00026,2024-03-01,0
cust_00026,2024-04-01,0
cust_00026,2024-05-01,0
cust_00026,2024-06-01,0
cust_00027,2024-01-01,0
cust_00027,2024-02-01,0
cust_00027,2024-03-01,0
cust_00027,2024-04-01,0
cust_00027,2024-05-01,0
cust_00027,2024-06-01,0
cust_00028,2024-01-01,0
cust_00028,2024-02-01,0
cust_00028,2024-03-01,0
cust_00028,2024-04-01,0
cust_00028,2024-05-01,0
cust_00028,2024-06-01,0
cust_00029,2024-01-01,0
cust_00029,2024-02-01,0
cust_00029,2024-03-01,0
cust_00029,2024-04-01,0
cust_00029,2024-05-01,0
cust_00029,2024-06-01,0
cust_00030,2024-01-01,0
cust_00030,2024-02-01,0
cust_00030,2024-03-01,0
cust_00030,2024-04-01,0
cust_00030,2024-05-01,0
cust_00030,2024-06-01,0
cust_00031,2024-01-01,0
cust_00031,2024-02-01,0
cust_00031,2024-03-01,0
cust_00031,2024-04-01,0
cust_00031,2024-05-01,0
cust_00031,2024-06-01,0
cust_00032,2024-01-01,0
cust_00032,2024-02-01,0
cust_00032,2024-03-01,0
cust_00032,2024-04-01,0
cust_00032,2024-05-01,0
cust_00032,2024-06-01,0
cust_00033,2024-01-01,0
cust_00033,2024-02-01,0
cust_00033,2024-03-01,0
cust_00033,2024-04-01,0
cust_00033,2024-05-01,0
cust_00033,2024-06-01,0
cust_00034,2024-01-01,0
cust_00034,2024-02-01,0
cust_00034,2024-03-01,0
cust_00034,2024-04-01,0
cust_00034,2024-05-01,0
cust_00034,2024-06-01,0
cust_00035,2024-01-01,0
cust_00035,2024-02-01,0
cust_00035,2024-03-01,0
cust_00035,2024-04-01,0
cust_00035,2024-05-01,0
cust_00035,2024-06-01,0
cust_00036,2024-01-01,0
cust_00036,2024-02-01,0
cust_00036,2024-03-01,0
cust_00036,2024-04-01,0
cust_00036,2024-05-01,0
cust_00036,2024-06-01,0
cust_00037,2024-01-01,0
cust_00037,2024-02-01,0
cust_00037,2024-03-01,0
cust_00037,2024-04-01,0
cust_00037,2024-05-01,0
cust_00037,2024-06-01,0
cust_00038,2024-01-01,0
cust_00038,2024-02-01,0
cust_00038,2024-03-01,0
cust_00038,2024-04-01,0
cust_00038,2024-05-01,0
cust_00038,2024-06-01,0
cust_00039,2024-01-01,0
cust_00039,2024-02-01,0
cust_00039,2024-03-01,0
cust_00039,2024-04-01,0
cust_00039,2024-05-01,0
cust_00039,2024-06-01,0
cust_00040,2024-01-01,0
cust_00040,2024-02-01,0
cust_00040,2024-03-01,0
cust_00040,2024-04-01,0
cust_00040,2024-05-01,0
cust_00040,2024-06-01,0
cust_00041,2024-01-01,0
cust_00041,2024-02-01,0
cust_00041,2024-03-01,0
cust_00041,2024-04-01,0
cust_00041,2024-05-01,0
cust_00041,2024-06-01,1
cust_00042,2024-01-01,0
cust_00042,2024-02-01,0
cust_00042,2024-03-01,0
cust_00042,2024-04-01,0
cust_00042,2024-05-01,0
cust_00042,2024-06-01,0
cust_00043,2024-01-01,0
cust_00043,2024-02-01,0
cust_00043,2024-03-01,0
cust_00043,2024-04-01,0
cust_00043,2024-05-01,0
cust_00043,2024-06-01,0
cust_00044,2024-01-01,0
cust_00044,2024-02-01,0
cust_00044,2024-03-01,0
cust_00044,2024-04-01,0
cust_00044,2024-05-01,0
cust_00044,2024-06-01,0
cust_00045,2024-01-01,0
cust_00045,2024-02-01,0
cust_00045,2024-03-01,0
cust_00045,2024-04-01,0
cust_00045,2024-05-01,0
cust_00045,2024-06-01,0
cust_00046,2024-01-01,1
cust_00046,2024-02-01,1
cust_00046,2024-03-01,1
cust_00046,2024-04-01,1
cust_00046,2024-05-01,1
cust_00046,2024-06-01,1
cust_00047,2024-01-01,0
cust_00047,2024-02-01,0
cust_00047,2024-03-01,0
cust_00047,2024-04-01,0
cust_00047,2024-05-01,0
cust_00047,2024-06-01,0
cust_00048,2024-01-01,1
cust_00048,2024-02-01,1
cust_00048,2024-03-01,1
cust_00048,2024-04-01,1
cust_00048,2024-05-01,1
cust_00048,2024-06-01,1
cust_00049,2024-01-01,0
cust_00049,2024-02-01,0
cust_00049,2024-03-01,0
cust_00049,2024-04-01,0
cust_00049,2024-05-01,0
cust_00049,2024-06-01,0
cust_00050,2024-01-01,0
cust_00050,2024-02-01,0
cust_00050,2024-03-01,0
cust_00050,2024-04-01,0
cust_00050,2024-05-01,0
cust_00050,2024-06-01,0
cust_00051,2024-01-01,0
cust_00051,2024-02-01,0
cust_00051,2024-03-01,0
cust_00051,2024-04-01,0
cust_00051,2024-05-01,0
cust_00051,2024-06-01,0
cust_00052,2024-01-01,0
cust_00052,2024-02-01,0
cust_00052,2024-03-01,0
cust_00052,2024-04-01,0
cust_00052,2024-05-01,0
cust_00052,2024-06-01,0
cust_00053,2024-01-01,0
cust_00053,2024-02-01,0
cust_00053,2024-03-01,0
cust_00053,2024-04-01,0
cust_00053,2024-05-01,0
cust_00053,2024-06-01,0
cust_00054,2024-01-01,0
cust_00054,2024-02-01,0
cust_00054,2024-03-01,0
cust_00054,2024-04-01,0
cust_00054,2024-05-01,0
cust_00054,2024-06-01,0
cust_00055,2024-01-01,0
cust_00055,2024-02-01,0
cust_00055,2024-03-01,0
cust_00055,2024-04-01,0
cust_00055,2024-05-01,0
cust_00055,2024-06-01,0
cust_00056,2024-01-01,0
cust_00056,2024-02-01,0
cust_00056,2024-03-01,0
cust_00056,2024-04-01,0
cust_00056,2024-05-01,0
cust_00056,2024-06-01,0
cust_00057,2024-01-01,0
cust_00057,2024-02-01,0
cust_00057,2024-03-01,0
cust_00057,2024-04-01,0
cust_00057,2024-05-01,0
cust_00057,2024-06-01,0
cust_00058,2024-01-01,0
cust_00058,2024-02-01,0
cust_00058,2024-03-01,0
cust_00058,2024-04-01,0
cust_00058,2024-05-01,0
cust_00058,2024-06-01,0
cust_00059,2024-01-01,0
cust_00059,2024-02-01,0
cust_00059,2024-03-01,0
cust_00059,2024-04-01,0
cust_00059,2024-05-01,0
cust_00059,2024-06-01,0
cust_00060,2024-01-01,0
cust_00060,2024-02-01,0
cust_00060,2024-03-01,0
cust_00060,2024-04-01,0
cust_00060,2024-05-01,0
cust_00060,2024-06-01,0
cust_00061,2024-01-01,1
cust_00061,2024-02-01,1
cust_00061,2024-03-01,1
cust_00061,2024-04-01,1
cust_00061,2024-05-01,1
cust_00061,2024-06-01,1
cust_00062,2024-01-01,0
cust_00062,2024-02-01,0
cust_00062,2024-03-01,0
cust_00062,2024-04-01,0
cust_00062,2024-05-01,0
cust_00062,2024-06-01,0
cust_00063,2024-01-01,0
cust_00063,2024-02-01,0
cust_00063,2024-03-01,0
cust_00063,2024-04-01,0
cust_00063,2024-05-01,0
cust_00063,2024-06-01,0
cust_00064,2024-01-01,1
cust_00064,2024-02-01,1
cust_00064,2024-03-01,1
cust_00064,2024-04-01,1
cust_00064,2024-05-01,1
cust_00064,2024-06-01,1
cust_00065,2024-01-01,0
cust_00065,2024-02-01,0
cust_00065,2024-03-01,0
cust_00065,2024-04-01,0
cust_00065,2024-05-01,0
cust_00065,2024-06-01,0
cust_00066,2024-01-01,0
cust_00066,2024-02-01,0
cust_00066,2024-03-01,0
cust_00066,2024-04-01,0
cust_00066,2024-05-01,0
cust_00066,2024-06-01,0
cust_00067,2024-01-01,0
cust_00067,2024-02-01,0
cust_00067,2024-03-01,0
cust_00067,2024-04-01,0
cust_00067,2024-05-01,0
cust_00067,2024-06-01,0
cust_00068,2024-01-01,0
cust_00068,2024-02-01,0
cust_00068,2024-03-01,0
cust_00068,2024-04-01,0
cust_00068,2024-05-01,0
cust_00068,2024-06-01,0
cust_00069,2024-01-01,0
cust_00069,2024-02-01,0
cust_00069,2024-03-01,0
cust_00069,2024-04-01,0
cust_00069,2024-05-01,0
cust_00069,2024-06-01,0
cust_00070,2024-01-01,0
cust_00070,2024-02-01,0
cust_00070,2024-03-01,0
cust_00070,2024-04-01,0
cust_00070,2024-05-01,0
cust_00070,2024-06-01,0
cust_00071,2024-01-01,0
cust_00071,2024-02-01,0
cust_00071,2024-03-01,0
cust_00071,2024-04-01,0
cust_00071,2024-05-01,0
cust_00071,2024-06-01,0
cust_00072,2024-01-01,0
cust_00072,2024-02-01,0
cust_00072,2024-03-01,0
cust_00072,2024-04-01,0
cust_00072,2024-05-01,0
cust_00072,2024-06-01,0
cust_00073,2024-01-01,0
cust_00073,2024-02-01,0
cust_00073,2024-03-01,0
cust_00073,2024-04-01,0
cust_00073,2024-05-01,0
cust_00073,2024-06-01,0
cust_00074,2024-01-01,0
cust_00074,2024-02-01,0
cust_00074,2024-03-01,0
cust_00074,2024-04-01,0
cust_00074,2024-05-01,0
cust_00074,2024-06-01,0
cust_00075,2024-01-01,0
cust_00075,2024-02-01,0
cust_00075,2024-03-01,0
cust_00075,2024-04-01,0
cust_00075,2024-05-01,0
cust_00075,2024-06-01,0
cust_00076,2024-01-01,0
cust_00076,2024-02-01,0
cust_00076,2024-03-01,0
cust_00076,2024-04-01,0
cust_00076,2024-05-01,0
cust_00076,2024-06-01,0
cust_00077,2024-01-01,0
cust_00077,2024-02-01,0
cust_00077,2024-03-01,0
cust_00077,2024-04-01,0
cust_00077,2024-05-01,0
cust_00077,2024-06-01,0
cust_00078,2024-01-01,0
cust_00078,2024-02-01,0
cust_00078,2024-03-01,0
cust_00078,2024-04-01,0
cust_00078,2024-05-01,0
cust_00078,2024-06-01,0
cust_00079,2024-01-01,0
cust_00079,2024-02-01,0
cust_00079,2024-03-01,0
cust_00079,2024-04-01,0
cust_00079,2024-05-01,0
cust_00079,2024-06-01,0
cust_00080,2024-01-01,0
cust_00080,2024-02-01,0
cust_00080,2024-03-01,0
cust_00080,2024-04-01,0
cust_00080,2024-05-01,0
cust_00080,2024-06-01,0
cust_00081,2024-01-01,1
cust_00081,2024-02-01,1
cust_00081,2024-03-01,1
cust_00081,2024-04-01,1
cust_00081,2024-05-01,1
cust_00081,2024-06-01,1
cust_00082,2024-01-01,0
cust_00082,2024-02-01,0
cust_00082,2024-03-01,0
cust_00082,2024-04-01,0
cust_00082,2024-05-01,0
cust_00082,2024-06-01,0
cust_00083,2024-01-01,0
